AAL,AAR,108.14221151165667
AAL,KUN,936.7059946915807
AAL,STN,830.7025708718677
AAR,AGP,2458.6253779214853
AAR,CFU,1977.9377430441596
AAR,FAO,2554.626884788233
AAR,GDN,541.5826173287787
AAR,MXP,1194.3336003063275
AAR,PMI,1950.0504030860402
AAR,RIX,821.4795492766059
AAR,STN,837.1073120691487
AAR,ZAD,1396.6449993885408
ABZ,AGP,2288.3606768738528
ABZ,ALC,2107.0141977349135
ABZ,FAO,2284.614027000593
ACE,AGP,1207.9538237456084
ACE,ALC,1590.2568844158384
ACE,BCN,1974.2456759728539
ACE,BER,3426.487907472496
ACE,BGY,2758.8509923456118
ACE,BHX,2787.8581687624974
ACE,BLQ,2797.5658033984273
ACE,BOH,2617.412750446786
ACE,BRS,2651.6658875531966
ACE,BTS,3391.6049498098005
ACE,BUD,3493.5207483624645
ACE,BVA,2638.8954596375856
ACE,CGN,2989.5347232270733
ACE,CRL,2830.0470259229523
ACE,DUB,2783.5819219710306
ACE,EDI,3107.993701847639
ACE,EMA,2837.9685134865867
ACE,FCO,2732.294786618513
ACE,FMM,2942.5409500171922
ACE,HHN,2922.2762795396584
ACE,LBA,2933.147515900221
ACE,LPL,2847.704637324609
ACE,LTN,2772.8886880770483
ACE,MAD,1574.4907758472307
ACE,MAN,2864.5979506447748
ACE,MRS,2324.8466068220782
ACE,NCL,3051.8409799669066
ACE,NOC,2799.887267697558
ACE,NRN,3003.589269718279
ACE,ORK,2577.694906614722
ACE,PIK,3037.351283221535
ACE,SCQ,1616.4089676651354
ACE,SNN,2666.230400086966
ACE,STN,2794.042432424313
ACE,SVQ,1182.327242089433
ACE,TRN,2597.426146414979
ACE,VCE,2923.92625858124
ACE,VIE,3328.871089611597
ACE,VLC,1678.8398296425992
AGA,BCN,1597.2077135230904
AGA,BGY,2379.9287700525747
AGA,BOD,1781.0853100456209
AGA,BVA,2335.3320557583106
AGA,CIA,2345.4921164751754
AGA,CRL,2517.214400646657
AGA,DUB,2577.981529458869
AGA,FKB,2528.187500335447
AGA,HHN,2588.372714572504
AGA,KRK,3277.259311458873
AGA,LIS,938.4273200615189
AGA,MAD,1246.1414791488787
AGA,MAN,2622.510575468955
AGA,MRS,1948.5452052650403
AGA,NRN,2688.648129332478
AGA,NTE,1984.962443405435
AGA,OPO,1213.7748002683452
AGA,PGF,1758.9907162662132
AGA,STN,2522.6232134423
AGA,SXB,2485.965292709784
AGA,TFS,740.6341268216559
AGA,TLS,1759.0616078325322
AGA,VIE,2945.4672517892914
AGA,VLC,1302.2956527381032
AGP,AAR,2458.6253779214853
AGP,ABZ,2288.3606768738528
AGP,ACE,1207.9538237456084
AGP,AMS,1883.6970586346176
AGP,ARN,3018.2994226095157
AGP,BCN,766.4418802262842
AGP,BER,2242.8459954547466
AGP,BFS,2002.9887004350032
AGP,BGY,1551.2854378846343
AGP,BHX,1766.6470220147555
AGP,BLL,2356.7176083088375
AGP,BLQ,1591.7185568571072
AGP,BOD,959.856678946295
AGP,BOH,1581.45191072404
AGP,BRE,2093.005018554974
AGP,BRS,1640.3164393637853
AGP,BRU,1735.1561734550899
AGP,BUD,2287.2007631147208
AGP,BVA,1516.9612610623433
AGP,CGN,1829.290566682157
AGP,CPH,2472.821878137527
AGP,CRL,1690.7624053493626
AGP,CWL,1638.3525224706113
AGP,DTM,1907.5940813321856
AGP,DUB,1866.1458656851667
AGP,EDI,2144.247738914686
AGP,EIN,1818.532561188406
AGP,EMA,1812.4048941753267
AGP,EXT,1564.5066261927611
AGP,FCO,1550.893339778678
AGP,FEZ,307.929730408328
AGP,FKB,1689.2350958420245
AGP,FMM,1741.9863759717268
AGP,GDN,2638.530111178182
AGP,GLA,2133.8774225060815
AGP,GOT,2642.3442358624047
AGP,HAM,2192.5209423852266
AGP,HHN,1751.8396329369587
AGP,IBZ,571.8303238453476
AGP,KRK,2448.995208537563
AGP,KUN,2972.8366235787503
AGP,LBA,1923.1019104358686
AGP,LIS,470.8056288986477
AGP,LPA,1409.265307176135
AGP,LPL,1855.7453708186626
AGP,LTN,1720.1383080623018
AGP,MAH,840.4499307174622
AGP,MAN,1861.588146380394
AGP,MRS,1117.5103102304058
AGP,MXP,1486.701597348433
AGP,NAP,1678.254546989961
AGP,NCL,2052.165541044426
AGP,NDR,229.47656362220494
AGP,NOC,1944.3178524957846
AGP,NQY,1529.9394892705564
AGP,NRN,1859.9637259610854
AGP,NUE,1899.239579091585
AGP,OPO,623.6368442913272
AGP,ORK,1714.4638570985362
AGP,PAD,1924.7594226933563
AGP,PIK,2093.5183004029013
AGP,PMI,710.2264318066595
AGP,PSA,1484.6817483934537
AGP,RAK,649.8398377406627
AGP,RBA,355.8084441415723
AGP,RIX,3085.5749150322436
AGP,SCQ,767.6749453767936
AGP,SDR,751.9642304602603
AGP,SNN,1814.3668209090847
AGP,SOF,2467.8532887434194
AGP,STN,1730.9004645294128
AGP,TFS,1483.4241753886222
AGP,TNG,165.2947154350537
AGP,TRF,2720.9346328080524
AGP,TRN,1391.1185566588508
AGP,TSF,1713.7322224295144
AGP,TTU,140.83180959774825
AGP,VIE,2120.9537492715976
AGP,VIT,705.7857218847925
AGP,VLC,470.88781063742584
AGP,VST,2965.2498682021214
AGP,WMI,2633.401092034847
AGP,WRO,2333.8815185323097
AGP,ZAG,1988.823338952406
AHO,BCN,528.0235793436418
AHO,BGY,571.7714844110446
AHO,BLL,1681.1159903850946
AHO,BLQ,498.4787189226182
AHO,BOD,871.7490347943814
AHO,BRI,715.7722357491509
